ts_code,cost_price,price
C106R01596,,52.85
C106R01629,,28.46
C106R01628,,28.46
C106R01595,,52.85
C106R01627,,28.46
C106R01594,,52.85
C106R01630,,28.46
C106R01597,,44.72
C106R01394,,85.37
C106R01393,,85.37
C106R01392,,85.37
C106R01395,,89.43
CQ6473A,,65.04
CQ6472A,,65.04
CQ6471A,,65.04
CQ6470A,,60.98
CQ6003A,,40.65
CQ6002A,,40.65
CQ6001A,,40.65
CQ6000A,,36.59
CQ5953A,,117.89
CQ5952A,,117.89
CQ5951A,,117.89
CQ5950A,,65.04
CQ3964A,,69.11
CQ3963A,,44.72
CQ3962A,,44.72
CQ3961A,,44.72
CQ3960A,,40.65
CQ2673A,,60.98
CQ2672A,,60.98
CQ2671A,,60.98
CQ2670A,,56.91
CQ6005A,,121.95
CCF210-3A,,121.95
CCE320-3A,,121.95
CCE310-3A,,101.63
CCC530-3A,,158.54
CCE310A,,28.46
CCE250-3A,,235.78
CCB540-3A,,121.95
C1320C,,48.78
C1320K,,48.78
CCF383A,,52.85
CCF382A,,52.85
CCF381A,,52.85
CCF380X,,52.85
CCF353A,,32.52
CCF352A,,32.52
CCF351A,,32.52
CCF350A,,28.46
CCF214X,,101.63
CCF213A,,40.65
CCF212A,,40.65
CCF211A,,40.65
CCF210X,,40.65
CCF032A,,97.56
CCF033A,,97.56
CCF031A,,97.56
CCE743A,,97.56
CCE742A,,97.56
CCE741A,,97.56
CCE740A,,89.43
CCE413A,,52.85
CCE412A,,52.85
CCE323A,,36.59
CCE411A,,52.85
CCE410X,,48.78
CCE403A,,97.56
CCE402A,,97.56
CCE322A,,36.59
CCE401A,,97.56
CCE400X,,81.30
CCE321A,,36.59
CCE320A,,36.59
CCE390X,,109.76
CCE390A,,73.17
CCE314A,,44.72
CCE313A,,28.46
CCE312A,,28.46
CCE311A,,28.46
CCE273A,,162.60
CCE272A,,162.60
CCE271A,,162.60
CCE270A,,130.08
CCE264X,,73.17
CCE263A,,81.30
CCE262A,,81.30
CCE261A,,81.30
CCE260X,,81.30
CCE253A,,93.50
CCE252A,,93.50
CCE255X,,89.43
CCE251A,,93.50
CCE250X,,73.17
CCC533A,,48.78
CCC532A,,48.78
CCC531A,,48.78
CCC530A,,44.72
CCB543A,,36.59
CCB542A,,36.59
CCB541A,,36.59
CCB540A,,36.59
CCB436A,,32.52
CCB435A,,32.52
CCB436AU,,32.52
CCB403A,,109.76
CCB402A,,109.76
CCB401A,,109.76
CCB400A,,73.17
CCB383A,,121.95
CCB382A,,121.95
CCB381A,,121.95
CC9733A,,97.56
CC9732A,,97.56
CC9731A,,97.56
CC9730A,,81.30
CC9723A,,69.11
CC9722A,,69.11
CC9721A,,69.11
CC9720A,,60.98
CQ7562A,,60.98
CQ7563A,,60.98
CQ7561A,,60.98
CQ7560A,,60.98
CC13S050627,,28.46
CC13S050628,,28.46
CC13S050629,,28.46
CC13S050630,,28.46
C593-10314,,52.85
C593-10173,,109.76
C593-11037,,60.98
C593-11019,,52.85
C593-10315,,52.85
C593-10172,,109.76
C593-11033,,60.98
C593-11018,,52.85
C593-10313,,52.85
C593-10171,,109.76
C593-11041,,60.98
C593-11021,,52.85
C593-10312,,36.59
C593-10170,,69.11
C593-11040,,60.98
C593-11016,,44.72
C593-10961,,52.85
C593-10291,,121.95
C593-10290,,121.95
C593-10289,,69.11
C593-10496,,44.72
C593-10495,,44.72
C593-10494,,44.72
C593-10493,,44.72
C0455B002AA,,52.85
C0454B002AA,,52.85
C0453B002AA,,52.85
C0452B002AA,,44.72
CTN328Y,,69.11
CTN328M,,69.11
CTN328C,,69.11
CTN328BK,,36.59
CTN326Y,,60.98
CTN326M,,60.98
CTN326C,,60.98
CTN326BK,,36.59
CTN325Y,,56.91
CTN325M,,56.91
CTN325C,,56.91
CTN325BK,,36.59
CTN245Y,,40.65
CTN245M,,40.65
CTN245C,,40.65
CTN241Y,,36.59
CTN241M,,36.59
CTN241C,,36.59
CTN241BK,,36.59
CTN230Y,,36.59
CTN230M,,36.59
CTN230C,,36.59
CTN230BK,,36.59
CTN135Y,,52.85
CTN135M,,52.85
CTN135C,,52.85
CTN328MP,,235.78
CTN325MP,,182.93
CTN241MP,,130.08
CTN230MP,,121.95
CTN135MP,,130.08
CDR130CL,,81.30
CCLP300Y,,22.77
CCLP300M,,22.77
CCLP300K,,26.83
CCLP300C,,22.77
C1320M,,48.78
C1320Y,,48.78
CTK590K,,52.85
CTK590C,,52.85
CTK590M,,52.85
CTK590Y,,52.85
CCLT-Y506L,,56.91
CCLT-Y504S,,44.72
CCLT-M506L,,56.91
CCLT-M504S,,44.72
CCLT-C506L,,56.91
CCLT-C504S,,44.72
CCLT-Y5082L,,44.72
CCLT-Y4092S,,28.46
CCLT-Y4072S,,28.46
CCLT-Y406S,,44.72
CCLT-M5082L,,44.72
CCLT-M4092S,,28.46
CCLT-M4072S,,28.46
CCLT-M406S,,44.72
CCLT-K5082L,,44.72
CCLT-K4092S,,28.46
CCLT-K4072S,,28.46
CCLT-K406S,,44.72
CCLT-C5082L,,44.72
CCLT-C4092S,,28.46
CCLT-C4072S,,28.46
CCLT-C406S,,44.72
CCLP-M660B,,73.17
CCLP-K660B,,73.17
CCLP-C660B,,73.17
CCLP300Y,,20.33
CCLP300M,,20.33
CCLT-K506L,,60.98
CCLT-K504S,,36.59
CB0534,,60.98
CB0535,,60.98
CB0536,,60.98
CB0533,,60.98
C42918913,,65.04
C41963605,,81.30
C43487709,,69.11
C43865721,,77.24
C43872305,,32.52
C43381905,,36.59
C44059210,,85.37
C44059209,,85.37
C44059212,,85.37
C43324421,,69.11
C43459329,,32.52
C44973533,,44.72
C44250721,,32.52
C44469704,,44.72
C44318605,,69.11
C44059105,,65.04
C42918914,,81.30
C41963606,,121.95
C43487710,,69.11
C43865722,,77.24
C43872306,,32.52
C43381906,,36.59
C43324422,,69.11
C43459330,,36.59
C44973534,,44.72
C44250722,,32.52
C44469705,,44.72
C44318606,,69.11
C44059106,,65.04
C42918915,,121.95
C41963607,,121.95
C43487711,,69.11
C43865723,,77.24
C43872307,,32.52
C43381907,,36.59
C43324423,,69.11
C43459331,,36.59
C44973535,,44.72
C44250723,,32.52
C44469706,,44.72
C44318607,,69.11
C44059107,,65.04
C44643001,,81.30
C44643003,,81.30
C44643004,,81.30
C44643002,,81.30
C44315305,,69.11
C44315306,,69.11
C44315307,,69.11
C44315308,,69.11
C42127408,,32.52
C42127407,,65.04
C42127406,,65.04
C42127405,,65.04
C42918916,,65.04
C41963608,,81.30
C43487712,,48.78
C43865724,,44.72
C43865708,,40.65
C43324408,,36.59
C43324424,,36.59
C43459332,,32.52
